comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Naukri Premium - Employer Services,5-10 yrs,Depending on depth of experience  5-12 years would be the target range;Experience: 	Sales consulting ...,https://www.naukri.com/job-listings-Curriculum-Designer-Naukri-Employer-Services-Delhi-NCR-Mumbai-Hyderabad-5-to-10-years-170918007733?src=jobsearchDesk&sid=15384178238376&xp=1&px=1,Curriculum Designer,"Sales Consulting, Data Analytics, Data Analysis, Collection Management...","Delhi NCR, Mumbai, Hyderabad",  Not disclosed 
Naukri Premium - Employer Services,13-23 yrs,Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,https://www.naukri.com/job-listings-Sr-Director-IT-Audit-and-Data-Analytics-Naukri-Employer-Services-Delhi-NCR-13-to-23-years-060918001992?src=jobsearchDesk&sid=15384178238376&xp=2&px=1,Sr. Director - IT Audit and Data Analytics,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",Delhi NCR,  Not disclosed 
Naukri Premium - Employer Services,4-9 yrs,"Experience in data analytics, predictive & statistical modeling, strategy, project management, team ...",https://www.naukri.com/job-listings-Data-Scientist-Naukri-Employer-Services-Noida-4-to-9-years-160818000992?src=jobsearchDesk&sid=15384178238376&xp=3&px=1,Data Scientist,"sas, r, data analytics, multivariate analysis, machine learning...",Noida,  Not disclosed 
Naukri Premium - Employer Services,8-13 yrs,Work Experience: Over all 7 yrs plus work experience  Analytics & Sig Sigma Blend Role ...,https://www.naukri.com/job-listings-Sr-Manager-Quality-and-Analytics-Naukri-Employer-Services-Delhi-NCR-8-to-13-years-290818007344?src=jobsearchDesk&sid=15384178238376&xp=4&px=1,Sr. Manager - Quality and Analytics,"Lean Six Sigma, Project Management, KPO, BPO, Certified Black Belt, Quality...",Delhi NCR,  Not disclosed 
comp_name,exp_req,job_desp,job_desp_page,job_title,key_skills,loc,sal
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-011018006390?src=jobsearchDesk&sid=1538417896860&xp=1&px=1,Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, R, Business Development, Data Analytics...","Bengaluru, Delhi NCR",  Not disclosed 
Talentex Services Pvt Ltd.,7-12 yrs,"The person should be able to liaise with clients, manage elaborate dialogues with them and be able to ...",https://www.naukri.com/job-listings-Manager-Sr-Manager-AVP-Big-Data-Analytics-Talentex-Services-Pvt-Ltd-Gurgaon-7-to-12-years-011018003339?src=jobsearchDesk&sid=1538417896860&xp=2&px=1,Manager / Sr. Manager / AVP - Big Data Analytics,"Big Data Analytics, Big Data, Big Data Engineer, Big Data Consultant...",Gurgaon,"    15,00,000 - 30,00,000 P.A.  "
Sun Life India Service Centre Pvt. Ltd.,4-6 yrs,Must be able to effectively communicate complex results to a business audience not familiar with complex ...,https://www.naukri.com/job-listings-Senior-Analyst-Data-Analytics-Sun-Life-India-Service-Centre-Pvt-Ltd-Gurgaon-4-to-6-years-250918900949?src=jobsearchDesk&sid=1538417896860&xp=3&px=1,Senior Analyst  -  Data Analytics,"SAS, Coding, Data mining, Business intelligence, Analytical...",Gurgaon,  Not disclosed 
Not Mentioned,0-3 yrs,Candidates may have the opportunity to work out of their home so this job may be ideal for someone who ...,https://www.naukri.com/job-listings-Data-Analytics-Consultant-Virtual-Not-Mentioned-Delhi-NCR-Jaipur-Jodhpur-0-to-3-years-240918008671?src=jobsearchDesk&sid=1538417896860&xp=4&px=1,Data Analytics Consultant: Virtual,"Logistic Regression, Statistical Modeling, SAS SQL, Time Series, Excel...","Delhi NCR, Jaipur, Jodhpur","    1,50,000 - 3,50,000 P.A. Salary commensurate with exper...  "
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Bengaluru-Delhi-NCR-3-to-4-years-260918900098?src=jobsearchDesk&sid=1538417896860&xp=5&px=1,Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, Data Analytics, R, Data Warehousing...","Bengaluru, Delhi NCR",  Not disclosed 
